Point ID,arc_length,ClosestId(0),Distance(0),p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,Thrust_exit_plane,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,2,2.36401e+07,69101.3,0.162,0,0,0.162,0.0768693,2219.63,267.214,1959.63,-161.676,0,1966.29,1
1,1.794e-05,2,2.08386e+07,69399.1,0.162,1.794e-05,0,0.162,0.0771593,2222.27,269.054,1961.96,-169.95,0,1969.3,1
2,3.588e-05,2,1.82146e+07,69696.9,0.162,3.588e-05,0,0.162,0.0774493,2224.91,270.893,1964.28,-178.223,0,1972.35,1
3,5.382e-05,2,1.57682e+07,69994.7,0.162,5.382e-05,0,0.162,0.0777393,2227.55,272.733,1966.6,-186.496,0,1975.43,1
4,7.176e-05,2,1.34993e+07,70292.5,0.162,7.176e-05,0,0.162,0.0780293,2230.19,274.573,1968.92,-194.769,0,1978.53,1
5,8.97e-05,2,1.1408e+07,70590.3,0.162,8.97e-05,0,0.162,0.0783194,2232.83,276.413,1971.25,-203.043,0,1981.68,1
6,0.00010764,2,9.49413e+06,70888.1,0.162,0.00010764,0,0.162,0.0786094,2235.46,278.253,1973.57,-211.316,0,1984.85,1
7,0.00012558,2,7.7579e+06,71185.9,0.162,0.00012558,0,0.162,0.0788994,2238.1,280.092,1975.89,-219.589,0,1988.06,1
8,0.00014352,2,6.19915e+06,71483.7,0.162,0.00014352,0,0.162,0.0791894,2240.74,281.932,1978.22,-227.863,0,1991.3,1
9,0.00016146,2,4.81799e+06,71781.5,0.162,0.00016146,0,0.162,0.0794794,2243.38,283.772,1980.54,-236.136,0,1994.57,1
10,0.0001794,2,3.61433e+06,72079.3,0.162,0.0001794,0,0.162,0.0797694,2246.02,285.612,1982.86,-244.409,0,1997.87,1
11,0.00019734,2,2.79735e+06,72312.2,0.162,0.00019734,0,0.162,0.0799844,2248.63,287.242,1985.17,-252.291,0,2001.14,1
12,0.00021528,2,2.17745e+06,72514.2,0.162,0.00021528,0,0.162,0.0801636,2251.23,288.773,1987.48,-259.985,0,2004.41,1
13,0.00023322,2,1.63929e+06,72716.2,0.162,0.00023322,0,0.162,0.0803427,2253.83,290.304,1989.78,-267.679,0,2007.71,1
14,0.00025116,2,1.18285e+06,72918.1,0.162,0.00025116,0,0.162,0.0805219,2256.43,291.835,1992.09,-275.373,0,2011.03,1
15,0.0002691,2,808127,73120.1,0.162,0.0002691,0,0.162,0.080701,2259.03,293.366,1994.39,-283.067,0,2014.38,1
16,0.00028704,2,515111,73322,0.162,0.00028704,0,0.162,0.0808802,2261.63,294.897,1996.7,-290.761,0,2017.76,1
17,0.00030498,2,303826,73524,0.162,0.00030498,0,0.162,0.0810594,2264.23,296.428,1999,-298.455,0,2021.16,1
18,0.00032292,2,174258,73725.9,0.162,0.00032292,0,0.162,0.0812385,2266.83,297.959,2001.31,-306.149,0,2024.59,1
19,0.00034086,2,126407,73927.9,0.162,0.00034086,0,0.162,0.0814177,2269.43,299.49,2003.62,-313.843,0,2028.05,1
20,0.0003588,2,160277,74129.8,0.162,0.0003588,0,0.162,0.0815968,2272.03,301.021,2005.92,-321.537,0,2031.53,1
21,0.00037674,2,177831,74173,0.162,0.00037674,0,0.162,0.0816182,2273.41,301.202,2006.2,-322.79,0,2032.01,1
22,0.00039468,2,125395,73925.7,0.162,0.00039468,0,0.162,0.0813507,2272.59,298.913,2002.79,-312.258,0,2026.98,1
23,0.00041262,2,195544,73678.4,0.162,0.00041262,0,0.162001,0.0810833,2271.76,296.623,1999.37,-301.726,0,2022.01,1
24,0.00043056,2,388276,73431.1,0.162,0.00043056,0,0.162001,0.0808159,2270.94,294.334,1995.96,-291.195,0,2017.09,1
25,0.0004485,2,703580,73183.8,0.162,0.0004485,0,0.162001,0.0805484,2270.11,292.044,1992.54,-280.663,0,2012.21,1
26,0.00046644,2,1.14148e+06,72936.5,0.162,0.00046644,0,0.162001,0.080281,2269.29,289.754,1989.12,-270.131,0,2007.38,1
27,0.00048438,2,1.70196e+06,72689.2,0.162,0.00048438,0,0.162001,0.0800136,2268.46,287.465,1985.71,-259.599,0,2002.61,1
28,0.00050232,2,2.38502e+06,72441.8,0.162,0.00050232,0,0.162001,0.0797462,2267.63,285.175,1982.29,-249.067,0,1997.88,1
29,0.00052026,2,3.19067e+06,72194.5,0.162,0.00052026,0,0.162001,0.0794787,2266.81,282.886,1978.88,-238.535,0,1993.2,1
30,0.0005382,2,4.1189e+06,71947.2,0.162,0.0005382,0,0.162001,0.0792113,2265.98,280.596,1975.46,-228.004,0,1988.57,1
31,0.00055614,2,5.14885e+06,71704.5,0.162,0.00055614,0,0.162001,0.0789486,2265.16,278.312,1971.98,-217.133,0,1983.9,1
32,0.00057408,2,5.57572e+06,71609.6,0.162,0.00057408,0,0.162001,0.078839,2264.47,276.199,1966.42,-195.337,0,1976.1,1
33,0.00059202,2,6.02167e+06,71514.6,0.162,0.00059202,0,0.162001,0.0787293,2263.78,274.086,1960.87,-173.542,0,1968.53,1
34,0.00060996,2,6.48663e+06,71419.7,0.162,0.00060996,0,0.162001,0.0786197,2263.09,271.973,1955.31,-151.747,0,1961.19,1
35,0.0006279,2,6.97063e+06,71324.7,0.162,0.0006279,0,0.162001,0.07851,2262.4,269.86,1949.75,-129.951,0,1954.08,1
36,0.00064584,2,7.47373e+06,71229.8,0.162,0.00064584,0,0.162001,0.0784004,2261.7,267.746,1944.2,-108.156,0,1947.2,1
37,0.00066378,2,7.99584e+06,71134.9,0.162,0.00066378,0,0.162001,0.0782907,2261.01,265.633,1938.64,-86.3608,0,1940.56,1
38,0.00068172,2,8.53699e+06,71039.9,0.162,0.00068172,0,0.162001,0.0781811,2260.32,263.52,1933.08,-64.5655,0,1934.16,1
39,0.00069966,2,9.09724e+06,70945,0.162,0.00069966,0,0.162002,0.0780715,2259.63,261.407,1927.53,-42.7702,0,1928,1
40,0.0007176,2,9.67649e+06,70850,0.162,0.0007176,0,0.162002,0.0779618,2258.94,259.294,1921.97,-20.9748,0,1922.08,1
41,0.00073554,2,1.02748e+07,70755.1,0.162,0.00073554,0,0.162002,0.0778522,2258.24,257.181,1916.41,0.820491,0,1916.41,1
42,0.00075348,2,1.03221e+07,70747.6,0.162,0.00075348,0,0.162002,0.0778401,2258.44,256.733,1915.2,23.2055,0,1915.34,1
43,0.00077142,2,1.01379e+07,70776.3,0.162,0.00077142,0,0.162002,0.0778684,2259.01,256.977,1915.79,45.8351,0,1916.33,1
44,0.00078936,2,9.95646e+06,70805,0.162,0.00078936,0,0.162002,0.0778968,2259.57,257.22,1916.37,68.4648,0,1917.6,1
